text,isDeleted,favorites,retweets,day,time,contains_word,wall,fake_news,media,democrat,great,proud_boys,election_period
as long as i am president i will always stand with the heroes of law enforcement joe biden wonâ€™t ,f,79633,18909,10/25/2020,2:58,0,0,0,0,0,0,0,Post
washington is being inundated with people who donâ€™t want to see an election victory stolen by emboldened radical left democrats our country has had enough they wonâ€™t take it anymore we hear you and love you from the oval office make america great again,f,328137,82574,1/5/2021,22:05,1,0,0,0,1,1,0,Post
nolte top pollster finds 47 say â€˜likelyâ€˜ democrats stole election  via  rigged election,f,115529,25660,11/19/2020,20:26,1,0,0,0,1,0,0,Post
wisconsin vote maga ,f,59103,10944,10/25/2020,3:07,0,0,0,0,0,0,0,Post
â€œpresident trump told us for some time we would be getting a vaccine by the end of the year and people laughed at him and here we are with pfizer getting fda approval by the end of this month he was rightâ€ ,f,302777,56646,11/10/2020,13:01,0,0,0,0,0,0,0,Post
i hope the democrats and even more importantly the weak and ineffective rino section of the republican party are looking at the thousands of people pouring into dc they wonâ€™t stand for a landslide election victory to be stolen   ,f,210988,55852,1/5/2021,22:12,1,0,0,0,1,0,0,Post
lawyers now on    maybe  an open and shut case of voter fraud massive numbers,f,300663,60309,11/19/2020,17:34,0,0,0,0,0,0,0,Post
the covid drugs now available to make people better are amazing but seldom talked about by the media mortality rate is 85 down,f,255959,45468,11/19/2020,16:36,1,0,0,1,0,0,0,Post
voter fraud in detroit is rant and has been for many years,f,300049,50116,11/19/2020,12:46,0,0,0,0,0,0,0,Post
 ,f,102276,16281,10/25/2020,3:11,0,0,0,0,0,0,0,Post
â€œonly because of president trump we are going to have a vaccine by the end of the yearâ€  ronny jackson texas congressmanelect,f,375658,56155,11/10/2020,13:05,0,0,0,0,0,0,0,Post
antifa is a terrorist organization stay out of washington law enforcement is watching you very closely       ,f,273329,71140,1/5/2021,22:25,0,0,0,0,0,0,0,Post
we are making big progress results start to come in next week make america great again,f,638933,106449,11/10/2020,13:43,1,0,0,0,0,1,0,Post
â€œevidence of voter fraud continues to grow including 20000 dead people on the pennsylvania voters roll and many thousands all over the country now there has been an artificial number of votes in favor of joe bidenâ€ ,f,249157,58056,11/19/2020,16:22,0,0,0,0,0,0,0,Post
almost zero ballots rejected in georgia this election in years past close to 4 not possible must have signature check on envelopes now very easy to do dems fighting because they got caught far more votes than needed for flip republicans must get tough ,f,217844,47813,11/19/2020,13:59,0,0,0,0,0,0,0,Post
just saw the vote tabulations there is no way biden got 80000000 votes this was a 100 rigged election,f,496524,98943,11/26/2020,15:44,0,0,0,0,0,0,0,Post
i will be speaking at the save america rally tomorrow on the ellipse at 11am eastern arrive early â€” doors open at 7am eastern big crowds ,f,192930,51087,1/5/2021,22:43,0,0,0,0,0,0,0,Post
we will win,f,1023598,164891,11/10/2020,13:44,0,0,0,0,0,0,0,Post
happy thanksgiving ,f,235449,39403,11/26/2020,15:48,0,0,0,0,0,0,0,Post
watch for massive ballot counting abuse and just like the early vaccine remember i told you so,f,420361,74544,11/10/2020,15:33,0,0,0,0,0,0,0,Post
no thanks ,f,180746,26634,11/26/2020,20:16,0,0,0,0,0,0,0,Post
ballot counting abuse,f,525218,77977,11/10/2020,15:33,0,0,0,0,0,0,0,Post
great book ,f,64352,9261,11/20/2020,12:12,1,0,0,0,0,1,0,Post
big news in pennsylvania ,f,270262,73129,1/6/2021,2:59,0,0,0,0,0,0,0,Post
a rigged election ,f,242642,52267,11/20/2020,12:14,0,0,0,0,0,0,0,Post
a total fraud statehouse republicans proud strong and honest will never let this travesty stand ,f,145048,31529,11/26/2020,20:42,0,0,0,0,0,0,0,Post
looks like they are setting up a big â€œvoter dumpâ€ against the republican candidates waiting to see how many votes they need,f,331427,77805,1/6/2021,3:28,0,0,0,0,0,0,0,Post
highly respected ken starr â€œpennsylvaniaâ€™s threeday extension of the mailin ballot deadline is a constitutional travestyâ€ legal scholars agree,f,318729,61594,11/10/2020,15:51,0,0,0,0,0,0,0,Post
will use these charts in court case the election was a hoax thank you justin ,f,136898,34188,11/20/2020,12:18,0,0,0,0,0,0,0,Post
will go down much further weekend daytime even worse dead they still donâ€™t get it fantastic alternatives the lategreat roger ailes is seriously missed but i still won legal votes by a lot ,f,114106,21303,11/26/2020,20:53,1,0,0,0,0,1,0,Post
republicans donâ€™t let andrew mccabe continue to get away with totally criminal activity what he did should never be allowed to happen to our country again fight for justice,f,349531,69352,11/10/2020,16:04,0,0,0,0,0,0,0,Post
just happened to have found another 4000 ballots from fulton county here we go,f,306738,69530,1/6/2021,5:08,0,0,0,0,0,0,0,Post
 there will be no lockdowns other than those done by certain democrat governors,f,30870,9706,11/20/2020,12:21,1,0,0,0,1,0,0,Post
so much truth ,f,125237,23149,11/26/2020,20:56,0,0,0,0,0,0,0,Post
happy 245th birthday to the  happybirthdaymarines  ,f,194740,33576,11/10/2020,16:49,0,0,0,0,0,0,0,Post
nate simington a very smart and qualified individual is having his senate hearing today republicans will hopefully confirm him to the fcc asap we need action now on this very important nominationâ   ,t,59,9,11/10/2020,17:12,0,0,0,0,0,0,0,Post
pennsylvania party leadership votes are this week i hope they pick very tough and smart fighters we will win,f,402963,56782,11/10/2020,17:13,0,0,0,0,0,0,0,Post
rino mitt romney should read this iâ€™m sure however that he feels he got slaughtering by obama â€œfair and squareâ€ ,f,96823,21726,11/20/2020,12:52,0,0,0,0,0,0,0,Post
a brilliant woman of courage ,f,177381,31732,11/26/2020,20:58,0,0,0,0,0,0,0,Post
nate simington a very smart and qualified individual is having his senate hearing today republicans will hopefully confirm him to the fcc asap we need action now on this very important nomination   ,f,190240,35613,11/10/2020,17:13,0,0,0,0,0,0,0,Post
get smart republicans fight ,f,127234,26083,1/6/2021,5:43,0,0,0,0,0,0,0,Post
the great  daytime ratings crash will only get worse ,f,120977,23906,11/20/2020,12:56,1,0,0,0,0,1,0,Post
ballot corruption will be exposed tonight at 900pme on  on ,f,457163,91847,11/10/2020,23:21,0,0,0,0,0,0,0,Post
a must read impossible for biden to have overcome these and even greater odds ,f,191085,52982,11/27/2020,2:53,1,0,0,0,0,1,0,Post
so true ,f,89671,15305,10/25/2020,5:05,0,0,0,0,0,0,0,Post
if vice president  comes through for us we will win the presidency many states want to decertify the mistake they made in certifying incorrect  even fraudulent numbers in a process  not approved by their state legislatures which it must be mike can send it back,f,289835,66961,1/6/2021,6:00,0,0,0,0,0,0,0,Post
thank you elizabeth love ,f,118257,19945,11/20/2020,13:01,0,0,0,0,0,0,0,Post
i gave a long news conference today after wishing the military a happy thanksgiving  realized once again that the fake news media coordinates so that the real message of such a conference never gets out primary point made was that the 2020 election was rigged and that i won,f,274247,59077,11/27/2020,3:49,1,0,1,1,0,0,0,Post
sleepy eyes chuck todd is so happy with the fake voter tabulation process that he canâ€™t even get the words out straight sad to watch,f,193930,36209,1/6/2021,13:06,0,0,0,0,0,0,0,Post
twitter is sending out totally false â€œtrendsâ€ that have absolutely nothing to do with what is really trending in the world they make it up and only negative â€œstuffâ€ same thing will happen to twitter as is happening to  daytime also big conservative discrimination,f,267630,56539,11/27/2020,4:06,0,0,0,0,0,0,0,Post
thank you pensacola florida together we are going to make america great again ,f,73023,12074,10/24/2020,1:36,1,0,0,0,0,1,0,Post
states want to correct their votes which they now know were based on irregularities and fraud plus corrupt process never received legislative approval  all mike pence has to do is send them back to the states and we win do it mike this is a time for extreme courage,f,251729,62503,1/6/2021,13:17,0,0,0,0,0,0,0,Post
we have great support on the election hoax ,f,157307,30860,11/20/2020,13:35,1,0,0,0,0,1,0,Post
for purposes of national security section 230 must be immediately terminated,f,402784,79394,11/27/2020,4:11,1,0,0,1,0,0,0,Post
â€œi donâ€™t care what state your in this computer voting system is wide open to fraud and interventionâ€   true and wait until you see whatâ€™s coming,t,19076,5644,11/11/2020,0:50,0,0,0,0,0,0,0,Post
the republican party and more importantly our country needs the presidency more than ever before  the power of the veto stay strong,f,344390,66595,1/6/2021,13:22,0,0,0,0,0,0,0,Post
they just happened to find 50000 ballots late last night the usa is embarrassed by fools our election process is worse than that of third world countries,f,377295,92437,1/6/2021,14:00,0,0,0,0,0,0,0,Post
